Lactation No,Month,Activity,Rest Time,Rest Per Bout,Restlessness Ratio,SE Activity,SE Rest Time,SE Rest Per Bout,SE Restlessness Ratio,P-Value Activity,P-Value Rest Time,P-Value Rest Per Bout,P-Value Restlessness Ratio
1,1,227,594,69,4.04,3.99,7.47,1.14,0.27,0.001,0.001,0.001,0.001
1,2,199,579,62,3.77,3.14,7.99,1.36,0.15,0.001,0.001,0.001,0.001
1,3,213,565,56,4.07,2.81,7.13,0.69,0.17,0.001,0.001,0.001,0.001
1,4,218,590,66,3.71,2.55,5.53,0.89,0.11,0.001,0.001,0.001,0.001
1,5,246,540,60,4.51,3.49,5.15,0.73,0.15,0.001,0.001,0.001,0.001
1,6,269,527,54,5.15,5.92,8.72,1.02,0.18,0.001,0.001,0.001,0.001
1,7,202,580,59,3.48,4.34,9.91,1.29,0.14,0.001,0.001,0.001,0.001
1,8,230,550,65,4.33,4.2,7.55,1.22,0.15,0.001,0.001,0.001,0.001
1,9,223,578,77,4.09,3.92,8.83,1.58,0.22,0.001,0.001,0.001,0.001
1,10,223,568,85,3.93,4.75,8.23,1.82,0.16,0.001,0.001,0.001,0.001
1,11,222,588,69,3.85,3.53,7.45,1.16,0.19,0.001,0.001,0.001,0.001
1,12,251,588,72,4.07,5.19,8.54,1.29,0.16,0.001,0.001,0.001,0.001
2,1,208,683,74,2.81,5.96,9.43,1.74,0.13,0.001,0.001,0.001,0.001
2,2,173,722,70,2.13,4.28,9.71,1.23,0.09,0.001,0.001,0.001,0.001
2,3,193,702,72,2.54,7.13,16.25,1.88,0.11,0.001,0.001,0.001,0.001
2,4,165,749,74,2.22,8.5,20.5,3.11,0.12,0.001,0.001,0.001,0.001
2,5,228,680,64,2.86,16.41,23.37,2.07,0.23,0.001,0.001,0.001,0.001
2,6,325,534,55,5.18,16.67,18.53,2.34,0.29,0.001,0.001,0.001,0.001
2,7,179,660,49,2.74,9.27,34.04,2.61,0.26,0.001,0.001,0.001,0.001
2,8,174,710,67,1.82,6.72,16.54,4.96,0.07,0.001,0.001,0.001,0.001
2,9,213,675,82,3.01,6.48,14.09,3.85,0.23,0.001,0.001,0.001,0.001
2,10,196,667,88,2.62,4.27,11.58,2.05,0.12,0.001,0.001,0.001,0.001
2,11,208,659,72,2.81,5.18,11.57,1.77,0.14,0.001,0.001,0.001,0.001
2,12,244,640,71,3.62,5.68,9.05,1.42,0.15,0.001,0.001,0.001,0.001
3,1,208,673,70,3.13,7.13,11.43,1.65,0.18,0.001,0.001,0.001,0.001
3,2,179,671,67,2.74,6.1,16.96,2.99,0.47,0.001,0.001,0.001,0.001
3,3,217,614,60,3.49,49.92,115.26,5.71,1.15,0.001,0.001,0.001,0.001
3,5,208,987,70,0.89,16.31,12.49,3.72,0.17,0.001,0.001,0.09,0.003
3,6,241,893,57,2.76,14.93,36.64,3.47,0.36,0.001,0.001,0.024,0.099
3,7,156,710,59,2.04,4.9,14.81,2.48,0.12,0.001,0.001,0.001,0.001
3,8,164,642,79,2.15,8.5,16.91,3.48,0.14,0.001,0.001,0.001,0.001
3,9,197,633,94,2.95,5.15,12.54,4.57,0.13,0.001,0.001,0.001,0.001
3,10,205,650,97,2.93,5.84,11.9,2.5,0.19,0.001,0.001,0.001,0.001
3,11,226,658,77,3.05,5.33,8.75,1.93,0.11,0.001,0.001,0.001,0.001
3,12,225,703,89,2.68,12.2,15.52,3.42,0.17,0.001,0.001,0.001,0.001
